student_number,first_name,last_name,middle_name,program_code,section,password
2021-00001,Juan,Dela Cruz,Santos,IT,IT-3A,2021-00001
2021-00002,Maria,Garcia,Reyes,IT,IT-3A,2021-00002
2021-00003,Pedro,Gonzales,Torres,CS,CS-3B,2021-00003
2021-00004,Ana,Rodriguez,Lopez,CS,CS-3B,2021-00004
2021-00005,Jose,Martinez,Fernandez,IT,IT-3A,2021-00005
2021-00006,Sofia,Santos,Ramos,IT,IT-3A,2021-00006
2021-00007,Miguel,Flores,Cruz,CS,CS-3B,2021-00007
2021-00008,Isabella,Morales,Diaz,IT,IT-3A,2021-00008
2021-00009,Carlos,Jimenez,Alvarez,CS,CS-3B,2021-00009
2021-00010,Gabriela,Hernandez,Mendoza,IT,IT-3A,2021-00010
2021-00011,Ricardo,Vargas,Salazar,IT,IT-3A,2021-00011
2021-00012,Lucia,Ortiz,Navarro,CS,CS-3B,2021-00012
2021-00013,Fernando,Castillo,Romero,IT,IT-3A,2021-00013
2021-00014,Valentina,Ruiz,Herrera,CS,CS-3B,2021-00014
2021-00015,Diego,Moreno,Medina,IT,IT-3A,2021-00015
